Distance (m),Elevation (m),Latitude,Longitude
1167.2363737017763,307.0765380859375,44.93791617066319,-93.01642716644528
1170.2447148711108,307.5116882324219,44.93791319443235,-93.01638922176267
1173.2530560404452,307.963623046875,44.93791021818897,-93.01635127708397
1176.2613972097797,308.3502502441406,44.937907241933,-93.0163133324092
1179.2697383791142,308.6614685058594,44.93790426566448,-93.01627538773835
1182.2780795484487,308.9412231445312,44.9379012893834,-93.01623744307147
1185.2864207177831,309.1718139648438,44.93789831308974,-93.01619949840853
1188.2947618871176,309.3734741210938,44.93789533678352,-93.0161615537495
1191.303103056452,309.58544921875,44.93789236046474,-93.0161236090944
1194.3114442257865,309.8219604492188,44.9378893841334,-93.01608566444321
1197.319785395121,310.0703125,44.9378864077895,-93.016047719796
1200.3281265644555,310.38134765625,44.93788343143301,-93.01600977515272
1203.33646773379,310.782958984375,44.93788045506398,-93.01597183051337
1206.3448089031244,311.197021484375,44.93787747868238,-93.01593388587793
1209.353150072459,311.6743774414062,44.93787450228821,-93.01589594124641
1212.3614912417934,312.1886596679688,44.93787152588148,-93.01585799661888
1215.3698324111278,312.6256408691406,44.93786854946218,-93.0158200519952
1218.3781735804623,312.8959350585938,44.93786557303032,-93.01578210737557
1221.3865147497968,313.0626525878906,44.93786259658589,-93.0157441627598
1224.3948559191313,313.1492004394531,44.9378596201289,-93.01570621814795
1227.4031970884657,313.0391540527344,44.93785664365934,-93.01566827354009
1230.4115382578002,312.9214172363281,44.93785366717724,-93.01563032893614
1233.4198794271347,312.7205810546875,44.93785069068255,-93.01559238433612
1236.4282205964691,312.4804382324219,44.9378477141753,-93.01555443974001
1239.4365617658036,312.261474609375,44.93784473765547,-93.01551649514784
1242.444902935138,312.0833435058594,44.9378417611231,-93.01547855055964
1245.4532441044726,311.9315185546875,44.93783878457815,-93.01544060597536
1248.461585273807,311.7821960449219,44.93783580802065,-93.015402661395
1251.4699264431415,311.6466369628906,44.93783283145059,-93.01536471681857
1254.4782676124762,311.5138244628906,44.93782985486795,-93.01532677224611
1257.4866087818107,311.3552551269531,44.93782687827274,-93.01528882767752
1260.4949499511451,311.1916198730469,44.93782390166498,-93.01525088311291
1263.5032911204796,311.0460205078125,44.93782092504465,-93.01521293855228
1266.511632289814,310.927978515625,44.93781794841177,-93.01517499399552
1269.5199734591486,310.8275756835938,44.9378149717663,-93.01513704944267
1272.528314628483,310.7139587402344,44.93781199510828,-93.0150991048938
1275.5366557978175,310.5223693847656,44.9378090184377,-93.01506116034886
1278.544996967152,310.332275390625,44.93780604175453,-93.01502321580784
1281.5533381364864,309.9920959472656,44.93780306505882,-93.01498527127075
1284.561679305821,309.5769653320312,44.93780008835055,-93.01494732673763
1287.5700204751554,309.0949096679688,44.9377971116297,-93.01490938220843
1290.5783616444899,308.5193786621094,44.93779413489629,-93.01487143768315
1293.5867028138243,307.8719177246094,44.93779115815032,-93.0148334931618
1296.5950439831588,307.2082214355469,44.93778818139177,-93.01479554864437
1299.6033851524933,306.4834594726562,44.93778520462067,-93.01475760413092
1302.6117263218277,305.7549743652344,44.93778222783701,-93.01471965962139
1305.6200674911622,304.9686279296875,44.93777925104077,-93.01468171511578
1308.6284086604967,304.1458740234375,44.93777627423198,-93.0146437706141
1311.6367498298312,303.2893676757812,44.93777329741062,-93.0146058261164
1314.6450909991656,302.3810729980469,44.9377703205767,-93.01456788162255
1317.6534321685,301.4437561035156,44.93776734373021,-93.01452993713269
1320.6617733378346,300.5134582519531,44.93776436687115,-93.01449199264675
1323.670114507169,299.5994262695312,44.93776138999952,-93.0144540481648
1326.6784556765035,298.7006530761719,44.93775841311535,-93.0144161036867
1329.686796845838,298.0161437988281,44.9377554362186,-93.01437815921258
1332.6951380151725,297.47705078125,44.93775245930929,-93.01434021474239
1335.703479184507,297.0175476074219,44.93774948238741,-93.01430227027612
1338.7118203538414,296.7777709960938,44.93774650545296,-93.01426432581377
1341.7201615231759,296.6529235839844,44.93774352850595,-93.0142263813554
1344.7285026925103,296.5101013183594,44.9377405515464,-93.01418843690095
1347.7368438618448,296.3423461914062,44.93773757457426,-93.01415049245043
1350.7451850311793,296.1653747558594,44.93773459758956,-93.01411254800382
1353.7535262005138,295.9849853515625,44.9377316205923,-93.0140746035612
1356.7618673698482,295.797119140625,44.93772864358247,-93.01403665912244
1359.7702085391827,295.6028442382812,44.93772566656008,-93.01399871468766
1362.7785497085172,295.4360656738281,44.93772268952512,-93.0139607702568
1365.7868908778516,295.2799987792969,44.93771971247759,-93.01392282582992
1368.7952320471861,295.1597900390625,44.93771673541751,-93.01388488140691
1371.8035732165206,295.0934448242188,44.93771375834486,-93.01384693698787
1374.811914385855,295.0399475097656,44.93771078125965,-93.01380899257276
1377.8202555551895,294.9679870605469,44.93770780416187,-93.01377104816157
1380.828596724524,294.8676452636719,44.93770482705153,-93.01373310375436
1383.8369378938585,294.760009765625,44.93770184992862,-93.01369515935102
1386.845279063193,294.5711364746094,44.93769887279315,-93.01365721495165
1389.8536202325274,294.3562316894531,44.93769589564511,-93.0136192705562
1392.861961401862,294.1492309570312,44.93769291848451,-93.01358132616468
1395.8703025711964,293.9591369628906,44.93768994131135,-93.01354338177714
1398.8786437405308,293.7917175292969,44.93768696412561,-93.01350543739352
1401.8869849098653,293.670654296875,44.93768398692733,-93.01346749301376
1404.8953260791998,293.6365966796875,44.93768100971647,-93.01342954863804
1407.9036672485342,293.6004333496094,44.93767803249305,-93.01339160426619
1410.9120084178687,293.3349304199219,44.93767505525705,-93.01335365989831
1413.9203495872032,293.0372924804688,44.93767207800851,-93.01331571553436
1416.9286907565377,292.7030944824219,44.93766910074738,-93.01327777117433
1419.9370319258721,292.3143920898438,44.93766612347371,-93.01323982681822
1422.9453730952066,291.8753967285156,44.93766314618747,-93.01320188246609
1425.953714264541,291.3668823242188,44.93766016888866,-93.01316393811783
1428.9620554338755,290.7204284667969,44.93765719157728,-93.01312599377354
1431.97039660321,290.0676574707031,44.93765421425334,-93.01308804943324
1434.9787377725445,289.3862915039062,44.93765123691684,-93.0130501050968
1437.987078941879,288.69580078125,44.93764825956777,-93.01301216076433
1440.9954201112134,288.0375366210938,44.93764528220616,-93.01297421643574
1444.0037612805481,287.4244995117188,44.93764230483195,-93.01293627211118
1447.0121024498826,286.8245239257812,44.9376393274452,-93.01289832779048
